date,total_precipitation,rain_only,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,surface_pressure,humidity
2024-07-05 00:00:00+07:00,0.1,0.1,0.499,0.482,0.399,0.451,1007.8169,92.764946
2024-07-05 01:00:00+07:00,0.1,0.1,0.498,0.483,0.399,0.451,1007.4177,92.764946
2024-07-05 02:00:00+07:00,0.0,0.0,0.496,0.483,0.399,0.451,1006.71783,93.598946
2024-07-05 03:00:00+07:00,0.1,0.1,0.495,0.483,0.399,0.451,1005.9179,94.442024
2024-07-05 04:00:00+07:00,0.2,0.2,0.495,0.483,0.399,0.451,1006.31555,97.327644
2024-07-05 05:00:00+07:00,0.0,0.0,0.494,0.483,0.399,0.451,1006.314,97.32366
2024-07-05 06:00:00+07:00,0.0,0.0,0.492,0.483,0.399,0.451,1006.91144,97.614395
2024-07-05 07:00:00+07:00,0.0,0.0,0.491,0.483,0.4,0.451,1007.7165,95.02494
2024-07-05 08:00:00+07:00,0.0,0.0,0.494,0.488,0.4,0.451,1007.826,90.90772
2024-07-05 09:00:00+07:00,0.0,0.0,0.492,0.488,0.4,0.451,1007.5377,83.9832
2024-07-05 10:00:00+07:00,0.1,0.1,0.491,0.487,0.4,0.451,1007.2519,71.91218
2024-07-05 11:00:00+07:00,0.1,0.1,0.489,0.486,0.4,0.45,1007.1578,66.05111
2024-07-05 12:00:00+07:00,0.2,0.2,0.488,0.485,0.4,0.45,1006.3553,67.955345
2024-07-05 13:00:00+07:00,0.1,0.1,0.486,0.484,0.4,0.45,1005.06354,64.72021
2024-07-05 14:00:00+07:00,0.1,0.1,0.484,0.484,0.401,0.45,1004.0659,65.91307
2024-07-05 15:00:00+07:00,0.1,0.1,0.482,0.483,0.401,0.45,1003.7659,66.29122
2024-07-05 16:00:00+07:00,0.9,0.9,0.489,0.482,0.401,0.45,1004.0568,72.52868
2024-07-05 17:00:00+07:00,0.0,0.0,0.488,0.482,0.401,0.45,1004.2526,76.22818
2024-07-05 18:00:00+07:00,0.4,0.4,0.49,0.482,0.401,0.45,1005.33905,82.4345
2024-07-05 19:00:00+07:00,0.7,0.7,0.495,0.482,0.401,0.45,1005.73065,91.457054
2024-07-05 20:00:00+07:00,0.9,0.9,0.513,0.488,0.401,0.45,1006.61993,95.31833
2024-07-05 21:00:00+07:00,0.1,0.1,0.507,0.49,0.402,0.45,1006.8196,96.470406
2024-07-05 22:00:00+07:00,0.0,0.0,0.504,0.491,0.402,0.45,1007.0181,97.92531
2024-07-05 23:00:00+07:00,2.2,2.2,0.509,0.498,0.402,0.45,1007.0185,94.74302
2024-07-06 00:00:00+07:00,0.0,0.0,0.505,0.498,0.402,0.45,1006.81836,94.45413
2024-07-06 01:00:00+07:00,0.0,0.0,0.503,0.497,0.403,0.45,1006.517,95.59071
2024-07-06 02:00:00+07:00,0.1,0.1,0.501,0.497,0.403,0.45,1005.8166,93.01253
2024-07-06 03:00:00+07:00,0.0,0.0,0.5,0.497,0.403,0.45,1005.6154,93.00237
2024-07-06 04:00:00+07:00,0.3,0.3,0.501,0.496,0.404,0.45,1005.9135,95.56802
2024-07-06 05:00:00+07:00,0.2,0.2,0.503,0.496,0.404,0.45,1006.51294,94.41971
2024-07-06 06:00:00+07:00,1.0,1.0,0.511,0.497,0.404,0.45,1006.41125,96.1446
2024-07-06 07:00:00+07:00,0.1,0.1,0.507,0.497,0.404,0.45,1007.01373,93.57568
2024-07-06 08:00:00+07:00,0.5,0.5,0.507,0.507,0.414,0.45,1007.4183,89.46548
2024-07-06 09:00:00+07:00,2.3,2.3,0.514,0.512,0.414,0.45,1008.12384,86.62068
2024-07-06 10:00:00+07:00,1.0,1.0,0.514,0.512,0.415,0.45,1008.1298,85.66445
2024-07-06 11:00:00+07:00,2.0,2.0,0.512,0.516,0.417,0.45,1007.8292,89.31988
2024-07-06 12:00:00+07:00,0.2,0.2,0.509,0.513,0.418,0.45,1007.3353,84.444534
2024-07-06 13:00:00+07:00,0.4,0.4,0.508,0.51,0.419,0.45,1006.7409,80.80462
2024-07-06 14:00:00+07:00,0.4,0.4,0.508,0.509,0.419,0.45,1005.7395,81.22802
2024-07-06 15:00:00+07:00,0.2,0.2,0.506,0.507,0.42,0.45,1005.6482,75.51306
2024-07-06 16:00:00+07:00,1.6,1.6,0.515,0.508,0.42,0.45,1005.5357,82.138756
2024-07-06 17:00:00+07:00,0.3,0.3,0.512,0.508,0.421,0.45,1006.224,88.423805
2024-07-06 18:00:00+07:00,0.1,0.1,0.509,0.507,0.421,0.45,1006.8201,90.836235
2024-07-06 19:00:00+07:00,0.1,0.1,0.507,0.506,0.422,0.45,1007.6183,93.33361
2024-07-06 20:00:00+07:00,0.0,0.0,0.503,0.509,0.425,0.45,1008.2135,95.01585
2024-07-06 21:00:00+07:00,0.0,0.0,0.502,0.507,0.425,0.45,1008.313,94.15716
2024-07-06 22:00:00+07:00,0.0,0.0,0.5,0.506,0.426,0.45,1008.8117,94.440025
2024-07-06 23:00:00+07:00,7.2,7.2,0.52,0.52,0.427,0.45,1009.309,95.868706
2024-07-07 00:00:00+07:00,4.2,4.2,0.515,0.516,0.432,0.45,1008.90704,96.43907
2024-07-07 01:00:00+07:00,0.1,0.1,0.511,0.514,0.434,0.45,1008.60693,96.145966
2024-07-07 02:00:00+07:00,0.0,0.0,0.508,0.512,0.435,0.45,1008.00635,96.42987
2024-07-07 03:00:00+07:00,0.0,0.0,0.505,0.51,0.435,0.45,1007.30786,95.845856
2024-07-07 04:00:00+07:00,0.0,0.0,0.503,0.509,0.436,0.45,1007.2067,95.84121
2024-07-07 05:00:00+07:00,0.0,0.0,0.502,0.507,0.436,0.45,1007.4063,95.259674
2024-07-07 06:00:00+07:00,0.0,0.0,0.5,0.506,0.437,0.45,1007.9053,95.259674
2024-07-07 07:00:00+07:00,0.0,0.0,0.499,0.505,0.437,0.45,1008.2116,93.57802
2024-07-07 08:00:00+07:00,1.4,1.4,0.514,0.504,0.431,0.45,1009.11383,92.20369
2024-07-07 09:00:00+07:00,0.0,0.0,0.509,0.504,0.431,0.45,1009.11707,91.39892
2024-07-07 10:00:00+07:00,0.0,0.0,0.506,0.503,0.432,0.45,1009.02386,88.22304
2024-07-07 11:00:00+07:00,0.0,0.0,0.503,0.503,0.432,0.45,1008.53784,78.1905
2024-07-07 12:00:00+07:00,0.0,0.0,0.5,0.501,0.432,0.45,1007.7476,72.485435
2024-07-07 13:00:00+07:00,0.0,0.0,0.498,0.5,0.432,0.45,1007.1521,69.778915
2024-07-07 14:00:00+07:00,0.0,0.0,0.496,0.499,0.432,0.45,1006.15533,68.357445
2024-07-07 15:00:00+07:00,0.0,0.0,0.493,0.498,0.433,0.45,1005.46094,66.04099
2024-07-07 16:00:00+07:00,0.0,0.0,0.491,0.497,0.433,0.45,1005.06195,65.65333
2024-07-07 17:00:00+07:00,0.0,0.0,0.49,0.496,0.433,0.45,1005.357,71.5166
2024-07-07 18:00:00+07:00,0.0,0.0,0.489,0.496,0.433,0.45,1006.0433,75.418236
