date,total_precipitation,rain_only,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,surface_pressure,humidity
2024-01-01 00:00:00+07:00,0.0,0.0,0.493,0.488,0.334,0.396,1008.01953,97.34929
2024-01-01 01:00:00+07:00,0.0,0.0,0.492,0.488,0.334,0.396,1007.5187,97.63635
2024-01-01 02:00:00+07:00,0.0,0.0,0.491,0.487,0.335,0.396,1007.0166,98.51197
2024-01-01 03:00:00+07:00,0.0,0.0,0.49,0.487,0.335,0.396,1007.0166,98.808
2024-01-01 04:00:00+07:00,0.0,0.0,0.489,0.486,0.335,0.396,1006.9162,98.51087
2024-01-01 05:00:00+07:00,0.0,0.0,0.488,0.485,0.335,0.396,1007.4146,97.625
2024-01-01 06:00:00+07:00,0.0,0.0,0.488,0.485,0.336,0.396,1008.0139,97.626724
2024-01-01 07:00:00+07:00,0.0,0.0,0.487,0.484,0.336,0.396,1008.8205,93.08533
2024-01-01 08:00:00+07:00,0.0,0.0,0.49,0.485,0.336,0.396,1008.83514,84.486946
2024-01-01 09:00:00+07:00,0.1,0.1,0.489,0.485,0.336,0.396,1009.3448,74.259026
2024-01-01 10:00:00+07:00,0.1,0.1,0.488,0.484,0.337,0.396,1009.251,70.29307
2024-01-01 11:00:00+07:00,0.0,0.0,0.485,0.482,0.337,0.396,1008.4589,66.96253
2024-01-01 12:00:00+07:00,0.2,0.2,0.484,0.481,0.337,0.396,1007.7654,67.12087
2024-01-01 13:00:00+07:00,0.1,0.1,0.482,0.48,0.337,0.396,1006.7645,68.859924
2024-01-01 14:00:00+07:00,4.7,4.7,0.508,0.488,0.337,0.396,1006.7497,79.06539
2024-01-01 15:00:00+07:00,0.1,0.1,0.504,0.488,0.337,0.396,1006.05646,76.40389
2024-01-01 16:00:00+07:00,0.0,0.0,0.5,0.488,0.338,0.396,1006.053,78.17061
2024-01-01 17:00:00+07:00,4.4,4.4,0.503,0.502,0.338,0.396,1006.92786,93.11015
2024-01-01 18:00:00+07:00,0.1,0.1,0.502,0.501,0.339,0.396,1007.42755,91.46011
2024-01-01 19:00:00+07:00,0.9,0.9,0.51,0.5,0.339,0.396,1008.0211,94.486336
2024-01-01 20:00:00+07:00,0.1,0.1,0.494,0.504,0.34,0.396,1008.3234,94.2204
2024-01-01 21:00:00+07:00,0.0,0.0,0.494,0.502,0.34,0.396,1009.418,95.33709
2024-01-01 22:00:00+07:00,0.2,0.2,0.494,0.5,0.341,0.396,1009.2171,94.76022
2024-01-01 23:00:00+07:00,0.0,0.0,0.493,0.499,0.341,0.396,1008.9156,95.606834
2024-01-02 00:00:00+07:00,0.0,0.0,0.493,0.497,0.342,0.396,1007.8169,95.60199
2024-01-02 01:00:00+07:00,0.0,0.0,0.492,0.496,0.342,0.396,1007.31604,97.04334
2024-01-02 02:00:00+07:00,0.0,0.0,0.492,0.495,0.343,0.396,1006.9174,95.883835
2024-01-02 03:00:00+07:00,0.0,0.0,0.491,0.494,0.343,0.396,1007.118,95.31324
2024-01-02 04:00:00+07:00,0.0,0.0,0.49,0.493,0.344,0.396,1006.7151,97.91679
2024-01-02 05:00:00+07:00,0.0,0.0,0.49,0.492,0.344,0.396,1006.71564,97.91836
2024-01-02 06:00:00+07:00,0.0,0.0,0.489,0.491,0.344,0.396,1007.31604,97.62848
2024-01-02 07:00:00+07:00,0.0,0.0,0.488,0.49,0.344,0.396,1008.11975,94.19522
2024-01-02 08:00:00+07:00,0.0,0.0,0.479,0.486,0.345,0.396,1008.2344,86.2472
2024-01-02 09:00:00+07:00,0.0,0.0,0.478,0.485,0.345,0.396,1008.04736,75.60736
2024-01-02 10:00:00+07:00,0.0,0.0,0.476,0.484,0.346,0.396,1007.65826,68.73637
2024-01-02 11:00:00+07:00,0.0,0.0,0.474,0.483,0.346,0.396,1007.3647,64.89697
2024-01-02 12:00:00+07:00,0.0,0.0,0.472,0.481,0.346,0.396,1006.6698,62.52632
2024-01-02 13:00:00+07:00,0.0,0.0,0.47,0.48,0.346,0.396,1005.6696,63.027737
