date,total_precipitation,rain_only,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,surface_pressure,humidity
2024-02-01 00:00:00+07:00,0.0,0.0,0.486,0.499,0.462,0.394,1011.01337,94.19312
2024-02-01 01:00:00+07:00,0.0,0.0,0.486,0.498,0.462,0.394,1010.3143,93.343216
2024-02-01 02:00:00+07:00,0.0,0.0,0.486,0.497,0.463,0.394,1009.91376,93.33602
2024-02-01 03:00:00+07:00,0.0,0.0,0.485,0.497,0.463,0.394,1009.31323,94.73918
2024-02-01 04:00:00+07:00,0.0,0.0,0.485,0.496,0.463,0.395,1009.1136,95.02494
2024-02-01 05:00:00+07:00,0.0,0.0,0.485,0.496,0.463,0.395,1010.21405,92.78058
2024-02-01 06:00:00+07:00,0.0,0.0,0.485,0.495,0.463,0.395,1011.01495,91.417336
2024-02-01 07:00:00+07:00,0.0,0.0,0.484,0.495,0.463,0.395,1012.0183,89.83452
2024-02-01 08:00:00+07:00,0.0,0.0,0.482,0.494,0.465,0.395,1012.1292,82.01264
2024-02-01 09:00:00+07:00,0.1,0.1,0.481,0.493,0.465,0.395,1012.13556,77.82996
2024-02-01 10:00:00+07:00,0.0,0.0,0.48,0.492,0.465,0.395,1011.643,73.21937
2024-02-01 11:00:00+07:00,0.2,0.2,0.48,0.491,0.465,0.395,1011.3506,69.34785
2024-02-01 12:00:00+07:00,0.3,0.3,0.479,0.49,0.465,0.395,1010.25024,73.32901
2024-02-01 13:00:00+07:00,0.2,0.2,0.479,0.489,0.465,0.395,1009.5551,72.76914
2024-02-01 14:00:00+07:00,0.1,0.1,0.478,0.489,0.465,0.395,1009.0571,71.081726
2024-02-01 15:00:00+07:00,8.6,8.6,0.52,0.496,0.465,0.395,1009.43665,78.67652
2024-02-01 16:00:00+07:00,2.0,2.0,0.504,0.509,0.465,0.395,1009.12933,85.689125
2024-02-01 17:00:00+07:00,0.5,0.5,0.506,0.508,0.465,0.395,1009.52405,91.74299
2024-02-01 18:00:00+07:00,0.6,0.6,0.51,0.507,0.466,0.395,1010.0214,92.83231
2024-02-01 19:00:00+07:00,0.2,0.2,0.509,0.507,0.466,0.395,1010.51764,94.49428
2024-02-01 20:00:00+07:00,0.2,0.2,0.498,0.496,0.464,0.395,1011.219,93.94801
2024-02-01 21:00:00+07:00,0.0,0.0,0.497,0.495,0.464,0.395,1011.7145,96.77694
2024-02-01 22:00:00+07:00,0.1,0.1,0.496,0.495,0.464,0.395,1011.9148,95.63083
2024-02-01 23:00:00+07:00,0.0,0.0,0.495,0.495,0.464,0.395,1011.7129,95.05029
2024-02-02 00:00:00+07:00,0.0,0.0,0.495,0.495,0.464,0.395,1011.31067,94.180466
2024-02-02 01:00:00+07:00,0.0,0.0,0.494,0.495,0.464,0.395,1010.50995,95.02133
2024-02-02 02:00:00+07:00,0.0,0.0,0.493,0.494,0.465,0.395,1009.61005,95.876274
2024-02-02 03:00:00+07:00,0.0,0.0,0.492,0.494,0.465,0.395,1009.30994,95.87326
2024-02-02 04:00:00+07:00,0.0,0.0,0.491,0.494,0.465,0.395,1009.2099,95.87169
2024-02-02 05:00:00+07:00,0.0,0.0,0.491,0.494,0.465,0.395,1009.7091,95.008606
2024-02-02 06:00:00+07:00,0.0,0.0,0.49,0.493,0.465,0.395,1010.10925,93.30701
