date,total_precipitation,rain_only,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,surface_pressure,humidity
2025-10-13 00:00:00+07:00,0.0,0.0,0.163,0.275,0.271,0.385,1007.9482,66.62261
2025-10-13 01:00:00+07:00,0.4,0.4,0.175,0.275,0.271,0.385,1007.6451,71.11354
2025-10-13 02:00:00+07:00,0.0,0.0,0.175,0.275,0.271,0.385,1006.94495,73.03242
2025-10-13 03:00:00+07:00,0.0,0.0,0.174,0.275,0.271,0.385,1006.64233,74.97155
2025-10-13 04:00:00+07:00,0.0,0.0,0.174,0.275,0.271,0.385,1006.6377,78.104385
2025-10-13 05:00:00+07:00,0.0,0.0,0.174,0.275,0.271,0.385,1007.03394,79.47834
2025-10-13 06:00:00+07:00,0.0,0.0,0.173,0.275,0.271,0.385,1007.5316,80.17633
2025-10-13 07:00:00+07:00,0.0,0.0,0.174,0.275,0.271,0.385,1008.44025,73.87885
2025-10-13 08:00:00+07:00,0.0,0.0,0.173,0.275,0.271,0.385,1009.1512,65.18524
2025-10-13 09:00:00+07:00,0.0,0.0,0.172,0.275,0.272,0.385,1009.462,55.661747
2025-10-13 10:00:00+07:00,0.0,0.0,0.17,0.275,0.272,0.385,1008.8721,50.625446
2025-10-13 11:00:00+07:00,0.0,0.0,0.168,0.275,0.272,0.385,1008.0787,48.109676
2025-10-13 12:00:00+07:00,0.6,0.6,0.173,0.275,0.272,0.385,1007.07495,56.290436
2025-10-13 13:00:00+07:00,0.0,0.0,0.167,0.275,0.272,0.385,1005.7864,44.66462
2025-10-13 14:00:00+07:00,0.0,0.0,0.166,0.275,0.272,0.385,1004.99207,41.64003
2025-10-13 15:00:00+07:00,0.1,0.1,0.166,0.275,0.272,0.385,1004.9861,42.957645
2025-10-13 16:00:00+07:00,0.1,0.1,0.167,0.275,0.272,0.385,1004.8829,46.133274
2025-10-13 17:00:00+07:00,0.0,0.0,0.166,0.275,0.272,0.385,1005.3782,47.566994
2025-10-13 18:00:00+07:00,0.2,0.2,0.167,0.275,0.272,0.385,1005.5679,50.684166
2025-10-13 19:00:00+07:00,0.1,0.1,0.181,0.267,0.264,0.385,1007.14014,76.3119
2025-10-13 20:00:00+07:00,0.0,0.0,0.181,0.267,0.264,0.385,1007.6366,78.83669
2025-10-13 21:00:00+07:00,0.0,0.0,0.18,0.267,0.264,0.385,1008.0344,81.466545
2025-10-13 22:00:00+07:00,0.0,0.0,0.18,0.267,0.264,0.385,1008.33136,82.41076
2025-10-13 23:00:00+07:00,0.0,0.0,0.179,0.267,0.264,0.385,1007.93024,84.13225
2025-10-14 00:00:00+07:00,0.0,0.0,0.179,0.267,0.264,0.385,1007.12994,87.72396
2025-10-14 01:00:00+07:00,0.0,0.0,0.176,0.267,0.264,0.385,1006.53284,88.00434
2025-10-14 02:00:00+07:00,0.0,0.0,0.176,0.267,0.264,0.385,1006.03467,87.49153
2025-10-14 03:00:00+07:00,0.0,0.0,0.176,0.267,0.264,0.385,1005.83514,87.49153
2025-10-14 04:00:00+07:00,0.0,0.0,0.176,0.267,0.264,0.385,1005.8349,86.964386
2025-10-14 05:00:00+07:00,0.0,0.0,0.176,0.267,0.264,0.385,1006.4333,85.66445
2025-10-14 06:00:00+07:00,0.0,0.0,0.176,0.267,0.264,0.385,1006.93036,84.61395
2025-10-14 07:00:00+07:00,0.0,0.0,0.191,0.255,0.251,0.385,1007.6407,76.58084
2025-10-14 08:00:00+07:00,0.0,0.0,0.189,0.255,0.251,0.385,1008.252,67.15821
2025-10-14 09:00:00+07:00,0.0,0.0,0.186,0.255,0.251,0.385,1008.36206,58.182323
2025-10-14 10:00:00+07:00,0.0,0.0,0.182,0.255,0.251,0.385,1007.8718,51.96243
2025-10-14 11:00:00+07:00,0.0,0.0,0.178,0.255,0.251,0.385,1006.8817,48.86491
2025-10-14 12:00:00+07:00,0.1,0.1,0.175,0.255,0.251,0.385,1005.48926,48.760876
2025-10-14 13:00:00+07:00,0.0,0.0,0.173,0.255,0.251,0.385,1004.5963,45.107754
2025-10-14 14:00:00+07:00,0.0,0.0,0.17,0.255,0.251,0.385,1003.69794,44.274017
2025-10-14 15:00:00+07:00,0.0,0.0,0.168,0.255,0.251,0.385,1002.89606,44.413094
2025-10-14 16:00:00+07:00,0.0,0.0,0.167,0.255,0.251,0.385,1003.08716,48.04455
2025-10-14 17:00:00+07:00,0.0,0.0,0.166,0.255,0.251,0.385,1003.7769,54.939304
2025-10-14 18:00:00+07:00,0.0,0.0,0.167,0.255,0.251,0.385,1004.66785,61.022934
2025-10-14 19:00:00+07:00,0.1,0.1,0.159,0.255,0.251,0.385,1005.8642,64.19916
2025-10-14 20:00:00+07:00,0.0,0.0,0.159,0.255,0.251,0.385,1006.1598,67.05486
2025-10-14 21:00:00+07:00,0.0,0.0,0.159,0.255,0.251,0.385,1006.95526,70.072975
2025-10-14 22:00:00+07:00,0.0,0.0,0.159,0.255,0.251,0.385,1007.15234,72.571846
2025-10-14 23:00:00+07:00,0.0,0.0,0.159,0.255,0.251,0.385,1006.65063,74.49044
2025-10-15 00:00:00+07:00,0.1,0.1,0.161,0.255,0.251,0.385,1005.94977,76.24355
2025-10-15 01:00:00+07:00,0.1,0.1,0.157,0.255,0.251,0.385,1005.5499,74.19334
2025-10-15 02:00:00+07:00,0.0,0.0,0.157,0.255,0.251,0.385,1004.6487,76.849655
2025-10-15 03:00:00+07:00,0.0,0.0,0.157,0.255,0.251,0.385,1004.5464,78.197685
2025-10-15 04:00:00+07:00,0.0,0.0,0.157,0.255,0.251,0.385,1004.44495,79.58693
2025-10-15 05:00:00+07:00,0.0,0.0,0.157,0.255,0.251,0.385,1004.64294,81.25314
2025-10-15 06:00:00+07:00,0.0,0.0,0.158,0.255,0.251,0.385,1005.3413,81.73659
2025-10-15 07:00:00+07:00,0.6,0.6,0.173,0.255,0.251,0.385,1006.43677,81.44788
2025-10-15 08:00:00+07:00,0.0,0.0,0.173,0.255,0.251,0.385,1006.75037,72.28477
2025-10-15 09:00:00+07:00,0.0,0.0,0.171,0.255,0.251,0.385,1006.8622,65.76575
2025-10-15 10:00:00+07:00,0.0,0.0,0.17,0.255,0.251,0.385,1006.27594,58.34335
2025-10-15 11:00:00+07:00,1.0,1.0,0.18,0.255,0.251,0.385,1006.14935,70.711334
2025-10-15 12:00:00+07:00,0.0,0.0,0.177,0.255,0.251,0.385,1004.76953,61.460594
2025-10-15 13:00:00+07:00,0.0,0.0,0.187,0.255,0.251,0.385,1003.5902,50.609478
2025-10-15 14:00:00+07:00,0.4,0.4,0.186,0.255,0.251,0.385,1002.68353,53.93801
2025-10-15 15:00:00+07:00,2.0,2.0,0.208,0.255,0.251,0.385,1002.278,60.466957
2025-10-15 16:00:00+07:00,0.1,0.1,0.205,0.255,0.251,0.385,1002.07684,59.876015
2025-10-15 17:00:00+07:00,0.3,0.3,0.206,0.255,0.251,0.385,1002.26917,65.11234
2025-10-15 18:00:00+07:00,0.0,0.0,0.204,0.255,0.251,0.385,1003.2606,71.49881
2025-10-15 19:00:00+07:00,0.0,0.0,0.188,0.237,0.248,0.385,1004.0628,66.611694
2025-10-15 20:00:00+07:00,0.2,0.2,0.189,0.237,0.248,0.385,1004.5614,66.80315
2025-10-15 21:00:00+07:00,0.9,0.9,0.199,0.237,0.248,0.385,1005.8472,70.424095
2025-10-15 22:00:00+07:00,0.1,0.1,0.2,0.237,0.248,0.385,1005.94354,72.7257
2025-10-15 23:00:00+07:00,0.0,0.0,0.199,0.237,0.248,0.385,1005.44324,74.478485
2025-10-16 00:00:00+07:00,0.0,0.0,0.199,0.237,0.248,0.385,1005.141,77.17215
2025-10-16 01:00:00+07:00,0.0,0.0,0.197,0.237,0.248,0.385,1004.7441,78.8646
2025-10-16 02:00:00+07:00,0.1,0.1,0.197,0.237,0.248,0.385,1004.2447,79.09561
