date,total_precipitation,rain_only,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,surface_pressure,humidity
2024-12-07 00:00:00+07:00,0.0,0.0,0.444,0.354,0.277,0.396,1004.9342,88.51286
2024-12-07 01:00:00+07:00,0.0,0.0,0.442,0.354,0.277,0.396,1004.1336,88.75104
2024-12-07 02:00:00+07:00,0.0,0.0,0.441,0.355,0.277,0.396,1004.2312,91.16163
2024-12-07 03:00:00+07:00,0.0,0.0,0.44,0.355,0.277,0.396,1004.32947,91.69563
2024-12-07 04:00:00+07:00,3.0,3.0,0.476,0.356,0.277,0.396,1005.02264,95.028595
2024-12-07 05:00:00+07:00,0.5,0.5,0.478,0.357,0.277,0.396,1004.62384,94.17623
2024-12-07 06:00:00+07:00,0.0,0.0,0.474,0.359,0.277,0.396,1005.4222,95.030396
2024-12-07 07:00:00+07:00,1.0,1.0,0.483,0.36,0.277,0.396,1006.4254,92.25111
2024-12-07 08:00:00+07:00,2.4,2.4,0.481,0.355,0.277,0.396,1006.6342,85.42745
2024-12-07 09:00:00+07:00,0.2,0.2,0.476,0.357,0.277,0.396,1007.03705,83.71022
2024-12-07 10:00:00+07:00,0.3,0.3,0.471,0.358,0.277,0.396,1006.64557,79.21254
2024-12-07 11:00:00+07:00,0.4,0.4,0.466,0.359,0.277,0.396,1006.05084,78.588356
2024-12-07 12:00:00+07:00,0.3,0.3,0.459,0.36,0.277,0.396,1005.35767,75.71673
2024-12-07 13:00:00+07:00,6.0,6.0,0.503,0.369,0.277,0.396,1004.6483,80.379845
2024-12-07 14:00:00+07:00,0.2,0.2,0.49,0.372,0.277,0.396,1003.85693,74.9546
2024-12-07 15:00:00+07:00,0.2,0.2,0.481,0.374,0.277,0.396,1003.15985,73.65135
2024-12-07 16:00:00+07:00,0.1,0.1,0.474,0.375,0.277,0.396,1003.35754,74.498566
2024-12-07 17:00:00+07:00,0.0,0.0,0.468,0.376,0.277,0.396,1004.1532,77.38695
2024-12-07 18:00:00+07:00,0.0,0.0,0.464,0.377,0.277,0.396,1005.4442,83.52126
2024-12-07 19:00:00+07:00,0.0,0.0,0.462,0.378,0.278,0.396,1006.2387,86.7683
2024-12-07 20:00:00+07:00,0.0,0.0,0.448,0.359,0.278,0.396,1005.8405,88.872604
2024-12-07 21:00:00+07:00,0.0,0.0,0.447,0.359,0.278,0.396,1006.337,91.79575
2024-12-07 22:00:00+07:00,0.0,0.0,0.445,0.36,0.278,0.396,1005.93494,93.702095
2024-12-07 23:00:00+07:00,0.0,0.0,0.444,0.36,0.278,0.396,1005.73413,93.13731
2024-12-08 00:00:00+07:00,3.7,3.7,0.486,0.361,0.278,0.396,1005.82355,97.05639
2024-12-08 01:00:00+07:00,0.7,0.7,0.488,0.363,0.278,0.396,1005.72217,94.74875
2024-12-08 02:00:00+07:00,2.4,2.4,0.511,0.366,0.278,0.396,1005.5206,95.597176
2024-12-08 03:00:00+07:00,0.7,0.7,0.499,0.373,0.278,0.396,1004.919,97.91761
2024-12-08 04:00:00+07:00,0.0,0.0,0.49,0.376,0.278,0.396,1005.3186,97.33059
2024-12-08 05:00:00+07:00,0.1,0.1,0.485,0.378,0.278,0.396,1005.8187,96.75078
2024-12-08 06:00:00+07:00,0.1,0.1,0.481,0.38,0.278,0.396,1006.1198,96.17562
2024-12-08 07:00:00+07:00,0.0,0.0,0.477,0.381,0.278,0.396,1007.123,92.80133
2024-12-08 08:00:00+07:00,0.3,0.3,0.464,0.373,0.278,0.396,1007.1319,86.959885
2024-12-08 09:00:00+07:00,0.2,0.2,0.461,0.374,0.278,0.396,1006.9408,82.276665
