date,total_precipitation,rain_only,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,surface_pressure,humidity
2025-09-12 00:00:00+07:00,0.0,0.0,0.456,0.342,0.276,0.387,1009.3185,88.97166
2025-09-12 01:00:00+07:00,0.0,0.0,0.453,0.343,0.276,0.387,1008.8183,89.76591
2025-09-12 02:00:00+07:00,0.0,0.0,0.451,0.343,0.276,0.387,1008.51733,91.3897
2025-09-12 03:00:00+07:00,0.0,0.0,0.449,0.344,0.276,0.387,1008.21545,93.04024
2025-09-12 04:00:00+07:00,0.0,0.0,0.448,0.344,0.276,0.387,1007.91534,92.47452
2025-09-12 05:00:00+07:00,0.0,0.0,0.446,0.345,0.276,0.387,1008.0139,93.02765
2025-09-12 06:00:00+07:00,0.0,0.0,0.444,0.345,0.276,0.387,1008.6121,93.587326
2025-09-12 07:00:00+07:00,0.0,0.0,0.443,0.346,0.276,0.387,1009.1164,91.94571
2025-09-12 08:00:00+07:00,0.0,0.0,0.443,0.348,0.276,0.387,1009.8254,84.624504
2025-09-12 09:00:00+07:00,0.0,0.0,0.438,0.348,0.276,0.387,1010.33673,76.3809
2025-09-12 10:00:00+07:00,0.0,0.0,0.43,0.348,0.276,0.387,1009.9474,68.96983
2025-09-12 11:00:00+07:00,0.0,0.0,0.422,0.349,0.276,0.387,1009.3556,65.32982
2025-09-12 12:00:00+07:00,0.0,0.0,0.413,0.349,0.276,0.387,1008.3636,63.960842
2025-09-12 13:00:00+07:00,0.0,0.0,0.404,0.349,0.276,0.387,1007.4587,67.91613
2025-09-12 14:00:00+07:00,4.2,4.2,0.449,0.349,0.276,0.387,1007.3388,79.58017
2025-09-12 15:00:00+07:00,2.1,2.1,0.468,0.35,0.276,0.387,1007.3309,81.8667
2025-09-12 16:00:00+07:00,0.3,0.3,0.465,0.351,0.276,0.387,1007.13916,78.39069
2025-09-12 17:00:00+07:00,0.0,0.0,0.461,0.352,0.276,0.387,1007.2392,77.22425
2025-09-12 18:00:00+07:00,0.0,0.0,0.457,0.352,0.276,0.387,1008.0348,79.53272
2025-09-12 19:00:00+07:00,0.0,0.0,0.455,0.353,0.276,0.387,1008.9295,83.39778
2025-09-12 20:00:00+07:00,0.0,0.0,0.409,0.349,0.276,0.387,1009.32446,86.142265
2025-09-12 21:00:00+07:00,0.0,0.0,0.408,0.349,0.276,0.387,1009.6227,86.38314
2025-09-12 22:00:00+07:00,0.0,0.0,0.407,0.349,0.276,0.387,1009.9191,84.79113
2025-09-12 23:00:00+07:00,0.0,0.0,0.407,0.349,0.276,0.387,1009.8172,83.48091
2025-09-13 00:00:00+07:00,0.0,0.0,0.406,0.349,0.276,0.387,1009.41644,82.692345
2025-09-13 01:00:00+07:00,0.0,0.0,0.406,0.349,0.276,0.387,1008.8148,84.43301
2025-09-13 02:00:00+07:00,0.0,0.0,0.405,0.349,0.276,0.387,1008.31274,87.53772
2025-09-13 03:00:00+07:00,0.0,0.0,0.404,0.349,0.276,0.387,1008.21124,89.67837
